Speaker,DialogAct,Text
A,Minor,"Okay . "
A,Elicit,"Everybody found his place again ? Yeah ? "
D,Task,"Yes . "
A,Other,"That's nice . "
A,Minor,"Okay so "
A,Task,"this is our second meeting . "
A,Minor,"And uh "
A,Elicit,"still failing ? "
D,Task,"Yeah . "
A,Task,"Uh now we're going um into the functional design . "
A,Task,"Um important thing of this phase is that we're going to uh try to get an agreement about the user requirements comm technical function design comm and the working design . So that we can move onto the second uh phase . "
A,Task,"But first this phase . "
A,Other,"Um first an announcement . "
A,Task,"There's a little adaptation in the air conditioning system . "
A,Minor,"So "
A,Task,"There's our ghost mouse again . "
A,Task,"That that means that you can have a little trouble with comm little trouble with the air conditioning comm "
A,Minor,"that's because of this uh "
B,Other,"Okay . "
D,Other,"Okay . "
A,Task,"It's in wing C_ and E_ . "
A,Minor,"So "
A,Task,"it should be over in a in a while comm couple of days . "
A,Task,"But it's going to be cold anyway comm "
A,Task,"so I don't think you're gonna need it . "
D,Task,"No . "
A,Task,"Then our agenda . "
A,Minor,"Now "
A,Task,"first the opening . "
A,Other,"Uh this time I will take the minutes . "
A,Task,"Uh you're going to have a presentation . All of you . "
A,Task,"Um and we've got forty minutes for the whole uh prese for the whole uh presentations . "
A,Task,"So uh I suggest we take about seven minutes per presentation comm "
A,Task,"and then we can have a little discussion about the new project requirements "
A,Task,"uh which have been sent to me . "
A,Task,"And then the decision on the control functions uh which we wanna include and those which we don't wanna include . "
A,Minor,"So "
A,Task,"we've got forty minutes for all of it . "
A,Minor,"So "
A,Task,"I suggest um let's start with the first presentation . "
D,Task,"Yes . "
A,Elicit,"Um who wants to be first ? "
D,Other,"Think I'll go first . "
A,Task,"Okay . "
A,Minor,"So "
A,Minor,"Just maybe it's easier if you um "
A,Minor,"Yeah "
A,Task,"I think you will tell your presentation as well . Just which function you have "
A,Task,"and what you're gonna talk about . "
D,Task,"'Kay . "
D,Task,"My name is Freek Van Ponnen . "
D,Task,"I'm the Market Expert . "
D,Task,"But you already knew that . "
D,Task,"Um I've done some research . "
D,Task,"We have we uh have been doing research in a usability lab "
D,Task,"where we observed um users operating remote controls . "
D,Task,"Uh we let them fill out a questionnaire . "
D,Task,"We had one hundred of these uh test subjects . "
D,Task,"Uh in addition we did some market research . Uh see what the market consists of . What ages are involved . "
D,Minor,"Well "
D,Task,"these are three quite astonishing results comm I thought . "
D,Task,"Um remotes are being considered ugly . "
D,Minor,"F "
D,Task,"uh seventy five percent of the um people questioned uh indicated that they thought their remote were was ugly . "
D,Task,"Um and an additional eighty percent indicated that they would spend more money on a fancy-looking remote control . "
D,Minor,"So "
D,Task,"Um in addition remotes were not very functional . "
D,Task,"Fifty percent of the people indicated they only loo used about ten percent of the buttons on a remote control . "
D,Task,"And fifty percent of the people indicated that their remote tended to get lost in their room . "
D,Minor,"So "
B,Minor,"Mm . "
D,Other,"some things . "
D,Task,"Then we did some research to the most relevant functions . "
D,Task,"Channel selection and volume selection um both got a ten on a scale of one to ten for relevancy . "
D,Task,"The power button got a nine . "
D,Task,"And teletext got a six and a half . "
D,Task,"So these are the most most uh important functions on a remote control . "
D,Task,"Then there are some one-time use function . "
D,Task,"That's what I like to call them . "
D,Task,"That uh audio settings comm video settings comm and channel settings buttons . "
D,Task,"Which are not really used very frequently comm "
D,Task,"but are still considered to be of some importance . "
D,Task,"Um channel selection was also indicated to be used very frequently . One hundred and sixty eight times per hour . "
D,Minor,"Then these are the "
D,Task,"This is the market . "
D,Task,"Um sixty percent of the market consists of users between the ages sixteen and forty f six . "
D,Task,"Um Main characteristic of this group is that they're very critical on the remote control . "
D,Task,"Um they like to use new f new functions . "
D,Task,"But they also are very critical . "
D,Task,"They won't spend their money very easily . "
D,Minor,"So Um "
D,Task,"the users of forty six to sixty five years cons The make up forty percent of the market . "
D,Task,"They are not really very interested in features . "
D,Task,"But they do tend to spend their money a lot easier . "
D,Task,"What I think this indicates for our um design . I think we should make a remote for the future . "
D,Task,"And this means we would um have to focus on the age ages sixteen to forty five . "
D,Task,"Uh this also makes up most the biggest part of the market comm "
D,Task,"so that will also be where our main profit would be gettable . "
D,Task,"Um this would mean we would have to make a fancy design . "
D,Task,"Um The results also indicated that um about one quarter of the people questioned thought that the remote control caused R_S_ R_S_I_ . "
D,Task,"Um this is certainly something to take into account . "
D,Task,"And thirty four percent thought that it was hard to learn a n how to operate a new control comm remote control . "
D,Task,"So these are two factors that I think should be included in the design . "
D,Task,"Besides of course that the remote must look very nice . "
D,Task,"And the functionality As a lot of people indicated comm they only use about ten percent of the buttons comm "
D,Task,"I think we should make very few buttons . "
D,Task,"Uh this will also be uh beneficial to the design of the remote . "
D,Task,"Uh I think the most frequently used buttons should be emphasised . Especially the channel selection and audio uh selection buttons . "
D,Task,"'Cause they're used most "
D,Task,"and so they should be robust . "
D,Task,"They shouldn't break down easily . "
D,Task,"Um Then as mo as a lot of people indicated that their um remote got lost in the room comm "
D,Minor,"it might be "
D,Task,"and I say might be "
D,Task,"because it would um certainly boost the uh production costs a lot . "
D,Task,"But it might be a good idea to make a docking station . "
D,Task,"And this would comm could get a button in it "
D,Task,"which would send a signal to the remote "
D,Task,"which would then beep . "
D,Task,"So you'd know where it is in the room . "
D,Task,"And in addition to this it could um recharge the batteries in the remote if you put it in . "
D,Task,"Then um a surprisingly great deal of people w indicated that um an L_C_D_ screen in the remote control would be preferred . "
D,Task,"This was um mostly people in the age of sixteen to twenty five . "
D,Task,"But up till forty five it remains feasible . "
D,Task,"This would also greatly increase the production costs "
D,Task,"but I think these are just some small factors we could consider . "
A,Task,"Okay . "
D,Task,"That would be all . "
A,Other,"Thank you . "
A,Minor,"So "
A,Elicit,"anybody have um any questions until now ? "
D,Elicit,"Any questions ? "
B,Task,"Mm-hmm . "
A,Elicit,"About functional requirements ? "
C,Task,"No . "
A,Other,"Okay "
A,Task,"that's clear . "
D,Other,"'Kay . "
A,Task,"Now to the second . "
B,Minor,"Uh okay . Um "
B,Task,"I've been looking at uh the user interface of it . Um f for the techno f functions uh of of it . Um "
A,Minor,"Yeah . "
A,Minor,"Yeah "
A,Task,"you can take your time . "
B,Other,"Okay . "
A,Task,"We've got uh plenty of time comm "
B,Other,"Mm ? "
D,Minor,"Yeah "
D,Task,"you should go to the top thingy . Slide show . "
A,Minor,"so "
B,Other,"Oh . "
B,Minor,"Uh . "
D,Task,"Oh yeah . "
A,Task,"Yeah . There it is . Yeah . "
B,Task,"Okay . "
B,Minor,"Um yeah . "
