thread,neg,seg,comb,speaker,text
1,A2,n,n-A2,g,eh starting at the top of the caravan park 
1,A1,s,s-A1,f,aye 
2,A2,n,n-A2,g,turning to your left then left again 
3,K2,n,n-K2,f,my left 
3,K1,s,s-K1,g,yes 
4,K1,n,n-K1,g,that's something like the top of the caravan park you're facing up to top of the map 
4,o,s,s-o,f,uh-huh 
5,A2,n,n-A2,g,you turn left 
5,A1,s,s-A1,f,uh-huh 
6,A2,n,n-A2,g,then left again so you're coming down the side of the caravan park 
6,A1,s,s-A1,f,right 
7,A2,n,n-A2,g,keep going down 
7,A1,s,s-A1,f,mmhmm 
8,A2,n,n-A2,g,then you turn left 
9,o,n,n-o,g,go 
8,A1,o,o-A1,f,aye 
10,A1,n,n-A1,f,le-- i'm going back down south 
11,A2,n,n-A2,g,you're coming you're coming back you're coming down the map so you're turning left that's into that's into the map 
11,A1,s,s-A1,f,aye 
11,o,s,s-o,f,dnndnn 
11,o,s,s-o,f,aye right 
12,K2,n,n-K2,g,okay you got that 
12,K1,s,s-K1,f,uh-huh 
13,A2,n,n-A2,g,you're going along and you're turning left again 
14,A2,n,n-A2,f,right well stop now 
14,A1,s,s-A1,g,okay 
15,o,n,n-o,f,right 
15,K2,s,s-K2,f,so out the caravan park 
15,K1,s,s-K1,g,ah out the top of the caravan park 
16,K2,n,n-K2,f,right go left then left again 
16,K1,s,s-K1,g,then so you're coming down the side of the caravan park 
16,o,s,s-o,f,right 
17,K2,n,n-K2,f,now is there anything i should be watching for 
17,K1,s,s-K1,g,not not to the 
18,K2,n,n-K2,g,if you come do-- have you come down past the caravan park 
18,K1,s,s-K1,f,aye 
19,A2,n,n-A2,g,you turn left 
20,K2,n,n-K2,f,immediately past the caravan park 
20,K1,s,s-K1,g,no 
19,A2,o,o-A2,g,come down and turn left 
19,A1,s,s-A1,f,uh-huh 
21,A2,n,n-A2,g,then you go along 
21,A1,s,s-A1,f,right 
22,A2,n,n-A2,g,turn left again 
23,K2,n,n-K2,f,i don't go to the bottom of the map 
23,K1,s,s-K1,g,no you don't go to the bottom of the map 
23,o,s,s-o,f,right 
22,A1,o,o-A1,f,uh-huh 
24,A2,n,n-A2,g,turn left so that's two turns left after you come out the caravan park 
25,K2,n,n-K2,f,left come out turn left then turn left again and get to the bottom then turn left again 
25,K1,s,s-K1,g,yeah 
25,o,s,s-o,f,right 
26,A2,n,n-A2,g,and left back up into the map 
27,o,n,n-o,f,how how h-- how 
28,A2,n,n-A2,g,be careful for the old mill you'll see it it should be on your right-hand side 
28,A1,s,s-A1,f,right 
29,A2,n,n-A2,g,you go up past the the old mill keeping the old mill on your right-hand side 
30,K2,n,n-K2,g,okay you got eh you at the old mill yet 
30,K1,s,s-K1,f,aye i'm by the old mill 
31,o,n,n-o,g,right 
31,A2,s,s-A2,g,turn round the old turn to the right after the old mill 
31,o,s,s-o,f,the right 
31,o,s,s-o,g,yeah to the right after the old mill 
31,o,s,s-o,f,right 
32,A2,n,n-A2,g,that's you going across to the other side of the map 
32,A1,s,s-A1,f,uh-huh 
33,A2,n,n-A2,g,keep going 
33,A1,s,s-A1,f,uh-huh 
34,K1,n,n-K1,g,now you should come to a fenced meadow on your right 
34,o,s,s-o,f,aye 
35,A2,n,n-A2,g,well you turn left so you're going up the map again 
35,o,s,s-o,f,right up the map 
35,o,s,s-o,g,up the map 
36,A2,n,n-A2,g,you'll then come to an abandoned cottage it should be on your left-hand side 
36,ch,s,s-ch,f,uh i'm nowhere near it 
36,o,s,s-o,g,well never mind 
37,K1,n,n-K1,g,you should be on the left-hand side of it but it should be on your left-hand side 
37,ch,s,s-ch,f,ah but there's something in the road 
38,o,n,n-o,g,is there 
38,o,s,s-o,f,aye 
38,K2,s,s-K2,g,what 
38,K1,s,s-K1,f,a forest 
38,o,s,s-o,g,is there 
38,o,s,s-o,f,aye 
39,o,n,n-o,f,but but the ma-- 
38,ch,o,o-ch,g,i think you're on the wrong one 
39,K1,n,n-K1,f,the maps have been drawn by different explorers 
39,o,s,s-o,g,aye aye 
40,K1,n,n-K1,f,see i've landed in an obstacle 
40,o,s,s-o,g,i see 
41,A2,n,n-A2,g,you'll have to go through the forest then 
41,A1,s,s-A1,f,i'll have to go through the forest 
41,o,s,s-o,g,mm 
41,o,s,s-o,f,unfortunately right 
42,K2,n,n-K2,g,can you manage that 
42,K1,s,s-K1,f,right i've managed to get through it 
43,K1,n,n-K1,g,right now you should em-- hopefully emerge at the cottage yeah 
43,o,s,s-o,f,at the abandoned cottage 
43,o,s,s-o,f,aye 
44,K1,n,n-K1,g,that should be on your left-hand side 
44,o,s,s-o,f,yes 
45,o,n,n-o,g,okay 
45,A2,s,s-A2,g,you go up round the aband-- uh abandoned cottage 
45,A1,s,s-A1,f,uh-huh 
46,A2,n,n-A2,g,keeping it always on your left 
46,A1,s,s-A1,f,right 
46,ch,s,s-ch,g,no your left 
46,o,s,s-o,f,uh okay 
47,o,n,n-o,g,okay 
47,K1,s,s-K1,g,coming round you should see a fenced meadow in front of you 
48,K2,n,n-K2,f,another one 
48,K1,s,s-K1,g,yes 
47,ch,o,o-ch,f,no i've had a fenced meadow but there's only another there's nae more fenced meadows 
49,o,n,n-o,g,there's no 
