Speaker,DialogAct,Text
C,Minor,"So comm "
C,Other,"I will open our functional design meeting . "
A,Minor,"Mm-hmm . "
C,Minor,"So comm "
C,Other,"I will play role of the secretary . As also Program Ma Manager . "
C,Minor,"So comm "
C,Task,"we will have the three presentations from the In Industrial Designer comm User Interface Designer and um "
B,Task,"Industrial Design . "
A,Task,"Marketing Expert . "
C,Elicit,"What's your talk ? "
D,Minor,"Okay . "
C,Task,"Marketing Experts . "
A,Minor,"Mm . "
C,Task,"And after that we uh will have the uh new product requirements comm "
C,Task,"the decision on the remote control functions comm "
C,Task,"and we will close the meetings after . "
C,Minor,"Mm so um "
C,Task,"I suppose the first to do the presentation will be the User Interface Designer . "
D,Task,"Okay . "
C,Elicit,"Um comm so you're participant two ? "
B,Task,"One one . "
D,Task,"No no no . "
C,Task,"No "
C,Elicit,"you're "
D,Task,"One . "
C,Task,"No comm "
C,Task,"I'm participant one . "
B,Task,"Three three comm it's three "
B,Other,"sorry . "
D,Minor,"I I think I'm a . "
C,Other,"Okay comm never mind . "
A,Minor,"Okay . "
C,Minor,"'Kay comm "
C,Elicit,"did you save your presentation ? "
D,Task,"In one . "
B,Task,"In one comm "
B,Other,"sorry . "
A,Task,"Yeah . "
C,Elicit,"Isn't that technical functions ? "
A,Task,"No sure . "
B,Task,"So you didn't save it maybe . "
D,Task,"It's mine . "
A,Minor,"Uh "
B,Task,"Alright comm so "
A,Task,"it's David Jordan . Course . "
C,Other,"Name's Jordan . "
C,Minor,"So "
B,Other,"David Jordan ? Mm-hmm . "
D,Task,"Mm yeah . "
A,Minor,"Mm-hmm . "
C,Task,"so I'll I let David Jordan do his presentation . "
D,Task,"Okay . "
A,Task,"No comm no . "
A,Task,"Uh this one doesn't want to be moved comm I think . "
C,Other,"Uh . "
B,Other,"Too great for email then . "
D,Minor,"Okay comm so . "
D,Other,"The first I will present the technical function design for user interface for our uh remote T_V_ control . "
B,Minor,"Yeah . "
D,Other,"Uh I I will focus on user interface design . "
D,Task,"Um so move to the next slide . "
C,Minor,"Mm . "
D,Task,"As we know our "
D,Task,"remote c rem remote T_V_ control it's very has very soph sophisticated functions comm "
D,Task,"as we show from this picture . "
D,Task,"There's a lot of functions . "
D,Task,"Over comm I think over s twelve or twenty s functions of a remote T_V_ control . "
D,Elicit,"So how can we um design a user interface with so sa with so many sophisticated functions ? "
D,Task,"Um comm let's move to next slide . "
D,Minor,"Um . Yeah . So "
D,Minor,"I "
D,Task,"so we want to design uh elegant comm easy to use inter interface . "
D,Task,"A very good example is Google . "
D,Task,"As we know uh Google it's a very successful "
D,Task,"because his um powerful function comm "
D,Task,"but with very easy to use user interface . "
D,Minor,"Um so "
D,Task,"move to next s slide . "
D,Other,"So my job is to uh design a Google T_V_ controller "
D,Other,"which I want to have sophisticated functions while with very easy to use user interface . "
D,Minor,"So "
D,Task,"That's the end of the talk the end of the presentation . "
C,Other,"So you propose to to have the "
D,Minor,"Uh "
C,Other,"remote control which will be powerful . "
D,Task,"With sophisticated functions comm "
D,Minor,"but with very "
C,Other,"So powerful comm "
D,Task,"yeah powerful . "
C,Other,"many functions "
D,Task,"Yes . "
C,Other,"and very easy to use . "
D,Task,"Yep . "
A,Minor,"So comm "
A,Task,"I dunno comm "
A,Task,"it's maybe difficult to have both comm "
B,Task,"To merge the two system huh . "
A,Task,"I mean the the one on the right doesn't look so simple "
D,Minor,"Yeah . "
A,Other,"Yeah . "
C,Elicit,"You mean this one ? "
A,Task,"Yeah . "
C,Task,"Yeah "
C,Task,"you have to learn the manual before using this remote control comm I suppose . "
B,Task,"Mm yep . "
B,Minor,"But But this is "
D,Task,"But if we have very very good user interface "
B,Minor,"Yeah . "
D,Task,"it take less time for user to learn how to use it . "
A,Minor,"Yeah comm "
A,Minor,"and then "
A,Task,"Yeah . "
B,Minor,"Yeah "
B,Task,"you maybe you have some international standards comm "
B,Task,"where you know comm if you can use one is the other are or almost the same comm so the sign . "
C,Other,"Oh "
C,Elicit,"you mean for the yeah pic pictograms or things like that ? "
B,Task,"Yeah comm yeah . "
B,Task,"For example comm I dunno here comm escape comm you know comm you have escape in computers you have comm "
B,Task,"so if you see escape comm you know that it should be the same . "
A,Other,"Oh it should okay comm yeah . "
B,Minor,"So you have to The sh the user there "
A,Task,"The user should know . "
B,Task,"for example the power off button it is something very international comm "
B,Minor,"you know that "
B,Minor,"So . "
C,Minor,"Yeah um "
C,Task,"such as maybe the "
B,Minor,"Yeah . So . "
C,Task,"Go on comm go back "
C,Minor,"and "
B,Minor,"Yeah comm "
B,Elicit,"but the question is how to merge you know the Google system to the system comm alright . "
A,Task,"Yeah comm "
D,Task,"Yeah comm "
D,Other,"that's my job . "
A,Task,"that's gonna be the trick . "
B,Other,"That's your job "
D,Other,"That's my job . "
D,Task,"It's not the easiest I've got to . "
B,Minor,"It you "
C,Minor,"So comm "
C,Elicit,"you will propose us something which is yeah so powerful and easy to use . "
D,Task,"Yep . "
C,Other,"Okay . "
A,Other,"Okay . "
D,Task,"Powerful and easy to use . "
A,Task,"So that's the point . "
D,Task,"Yeah comm that's the point . "
C,Minor,"So comm "
C,Task,"next I propose the Industrial User Interface to present things . "
B,Task,"Okay comm okay . "
C,Elicit,"So you you're "
B,Task,"Participant two . "
B,Task,"Yeah . "
C,Other,"Um . Okay . "
B,Minor,"The rationale must be design comm or "
C,Minor,"So comm "
C,Other,"Baba is the uh the Industrial Designer . Okay . "
B,Minor,"So "
B,Task,"we can move to the next slide . "
B,Task,"As you all know comm you know m my job is to design you know uh to give an industrial design of the remote control . "
B,Task,"So the re basically the remote control will be comm you know comm infrared control comm "
B,Task,"so the problem is how to relate the "
C,Minor,"Mm-hmm . "
B,Task,"how to relate the remote control device comm like for example this one I h I'm holding in my hand and the T_V_ . "
B,Minor,"So comm "
B,Task,"this one is leather bu based "
B,Task,"but "
A,Minor,"Mm . "
B,Task,"I propose a nifra infrared base "
B,Minor,"you know comm so so "
B,Task,"for me I think that it is better it's bet it's better to control T_V_ "
B,Minor,"so you know comm so "
B,Task,"it's it will be cheaper "
B,Task,"and it is less technology than comm you know "
B,Task,"For the cheap price we have comm for the cheap price we want to "
A,Task,"True . "
C,Elicit,"So you mean that infrared control is a cheap technology ? "
B,Task,"I think it's cheaper than laser comm so . "
C,Other,"Yeah . "
A,Minor,"Okay . "
C,Elicit,"Do y you know the requirements for the remote control ? "
C,Task,"Twelve comm nearly thirteen comm "
A,Elicit,"What the cost is ? "
C,Task,"yeah . The cost "
B,Minor,"Yeah comm "
B,Minor,"I think for the cost we want for the cost we want it's better to have uh uh "
A,Task,"Twelve comm twelve a half . "
B,Minor,"Let's see . Yeah . "
B,Task,"You can move to the next slide comm so . "
B,Minor,"So the di the differen the findings "
B,Minor,"you know "
B,Task,"what you find inside the re i the the system here inside it is just comm you know a bulb and an infrared bulb comm "
B,Task,"so here for example the infrared bulb will be here "
C,Minor,"Mm-hmm . "
B,Task,"and the bulb it will be somewhere inside . "
A,Minor,"That might just So . "
B,Task,"You can go to the next slide . "
C,Task,"Okay . "
B,Task,"I have some kind of pictures "
B,Minor,"you know comm "
B,Task,"here . "
B,Task,"You have the b the bulb comm "
B,Task,"it is a blue the blue stuff here "
B,Task,"and the infrared and the infrared bulb it is the red stuff "
C,Minor,"Yeah . "
B,Minor,"you know "
B,Minor,"and so "
B,Task,"and you have the other subcomponent "
B,Task,"that are not really here so important comm so . "
C,Elicit,"What is this ? "
B,Task,"This is in fact some other component "
B,Task,"that are in between the electrical de the electronic device . "
C,Other,"Okay . "
B,Other,"Look . "
B,Task,"But here what I wanted to emphasise it is just you know the bulb and . "
C,Other,"Okay . "
B,Minor,"So "
B,Task,"and the next slide comm "
B,Task,"it is the last one "
B,Minor,"it's So it's "
B,Task,"I think it should be wire wireless re remote con "
B,Task,"Because you know comm it's easier to manage "
B,Task,"and you know because you f the b the the battery problem can hold you know will you use a battery or the a wire to connected you . "
B,Task,"Or maybe some kind of thing that we can have both comm "
B,Task,"but you know comm I at my side prefer a wireless . "
C,Minor,"Okay . "
B,Minor,"Okay comm so "
A,Minor,"Okay . "
B,Elicit,"if you have some question I didn't answer ? "
A,Elicit,"What's the average price of this technology then ? "
B,Minor,"Well "
B,Minor,"the avera the average prices "
B,Task,"I think that this technology will cost comm I dunno comm around eight Euros comm so . "
B,Minor,"Or at least you know comm the "
D,Elicit,"So what comm the wireless remote control ? "
D,Elicit,"There's a wire with remote control ? "
B,Minor,"You'd "
B,Task,"yes comm you can . "
B,Minor,"It's so so bres "
B,Task,"you have to decide how how you will you know comm put some energy inside comm "
B,Minor,"so "
B,Task,"you can think about wireless "
B,Minor,"or you know "
B,Task,"it's it's a question that we can raise comm so . "
B,Task,"We can think that you know comm with the wire comm you know comm without a wire . "
B,Task,"We can have both also . "
D,Other,"Okay . "
C,Other,"So you think that uh a cable between the remote control and the T_V_ won't be a good idea . "
D,Minor,"Okay . "
D,Minor,"Okay . "
C,Minor,"No "
C,Minor,"it wou "
C,Other,"maybe it will be cheaper I dunno "
C,Minor,"comm I just may maybe you making a solu "
A,Task,"But this is what you would like to ask the user first "
