Speaker,DialogAct,Text
B,Other,"I'm sorry to be late . "
A,Other,"Welcome back . "
A,Other,"Welcome back everybody . "
C,Other,"Yeah . "
C,Other,"Thanks . "
A,Task,"So this meeting agenda will be the detailed design meeting . "
A,Task,"And uh opening and uh P_M_s of the meet minutes comm "
A,Task,"uh prototype presentation from uh Christine and uh Agnes . "
B,Task,"Agnes comm yes . "
A,Minor,"Yes "
A,Task,"and uh evaluation criteria . "
A,Task,"The finance comm it's uh from my side comm from the management comm "
A,Task,"and uh production evaluation . Then uh closing . "
A,Task,"So we have forty minutes to discuss and uh finalise and close the product and project and to move further comm okay comm "
A,Minor,"so "
A,Task,"Okay comm let's talk about uh maybe first uh for the prototype . "
C,Other,"Mm comm okay . "
A,Task,"So I handle to "
C,Task,"I've done a presentation comm "
C,Task,"but it pretty much covers work that we've both done comm "
C,Task,"so if I'm missing anything comm Christine can just correct me . "
A,Other,"So shall I go to "
B,Other,"Uh thank you comm "
A,Other,"sorry . "
B,Other,"so you did a PowerPoint presentation comm good for you . "
A,Minor,"Yep . S "
A,Other,"Okay comm let's go to A_M_I_ . "
C,Task,"It's not the biggest PowerPoint presentation in the world comm but "
A,Elicit,"So in two or three or "
C,Task,"Three . "
C,Minor,"Um . "
C,Minor,"No it's "
D,Other,"Probably . Technical pa I would think . "
C,Task,"think it's the last one . "
C,Task,"No comm "
C,Minor,"then this is "
C,Task,"the la yeah comm that one comm final design . "
D,Minor,"Ha . "
A,Minor,"Yeah . "
C,Task,"It is named appropriately comm you just couldn't see the name . "
C,Elicit,"Um okay comm can I have the mouse ? "
A,Other,"Yes . "
C,Other,"Thanks . "
C,Minor,"Alright comm so "
C,Task,"from when we were discussing specifying the case in the last meeting comm we decided that we wanted an ergonomic shape comm "
C,Task,"the material that we chose was wood comm "
C,Task,"and uh the colour would be customisable comm "
C,Task,"'cause you can stain the wood whatever colour . "
C,Minor,"Um comm "
C,Task,"so in terms of function comm you have to be able to turn the T_V_ on and off comm volume and channel control comm menu control comm voice recognition control comm "
